Tile Rack #1: Playing GLEG earns 6 points, the max possible.
Tile Rack #209: Playing QUOTH earns 17 points, the max possible.

Tile Rack #210: Playing ALKYD earns 13 points, the max possible.

Tile Rack #211: Playing ZAX earns 19 points, the max possible.

Tile Rack #212: Playing JAUK earns 15 points, the max possible.

Tile Rack #213: Playing DUNT earns 5 points, the max possible.

Tile Rack #214: Playing HYMN earns 12 points, the max possible.

Tile Rack #215: Playing ZAP earns 14 points, the max possible.

Tile Rack #216: Playing BIZ earns 14 points, the max possible.

Tile Rack #217: Playing WHAMO earns 13 points, the max possible.

Tile Rack #218: Playing JAMB earns 15 points, the max possible.

Tile Rack #219: Playing YOLKY earns 15 points, the max possible.

Tile Rack #220: Playing CHOKY earns 17 points, the max possible.

Tile Rack #221: Playing JOKY earns 18 points, the max possible.

Tile Rack #222: Playing FOZY earns 19 points, the max possible.

Tile Rack #223: Playing JUMP earns 15 points, the max possible.

Tile Rack #224: Playing PUMPS earns 11 points, the max possible.

Tile Rack #225: Playing KAPPA earns 13 points, the max possible.

Tile Rack #226: Playing JOKY earns 18 points, the max possible.

Tile Rack #227: Playing KOB earns 9 points, the max possible.

Tile Rack #228: Playing KEFS earns 11 points, the max possible.

Tile Rack #229: Playing JISM earns 13 points, the max possible.

Tile Rack #230: Playing BRENTS earns 8 points, the max possible.

Tile Rack #231: Playing ACHY earns 12 points, the max possible.

Tile Rack #232: Playing GILLY earns 9 points, the max possible.

Tile Rack #233: Playing MOUNTED earns 10 points, the max possible.

Tile Rack #234: Playing JIB earns 12 points, the max possible.

Tile Rack #235: Playing LEX earns 10 points, the max possible.

Tile Rack #236: Playing FORCED earns 12 points, the max possible.

Tile Rack #237: Playing CALIPH earns 13 points, the max possible.

Tile Rack #238: Playing CLOG earns 7 points, the max possible.

Tile Rack #239: Playing BARKY earns 14 points, the max possible.

Tile Rack #240: Playing FACER earns 10 points, the max possible.

Tile Rack #241: Playing GAWP earns 10 points, the max possible.

Tile Rack #242: Playing WEBS earns 9 points, the max possible.

Tile Rack #243: Playing SPIRY earns 10 points, the max possible.

Tile Rack #244: Playing JAW earns 13 points, the max possible.

Tile Rack #245: Playing HM earns 7 points, the max possible.

Tile Rack #246: Playing PYX earns 15 points, the max possible.

Tile Rack #247: Playing WOW earns 9 points, the max possible.

Tile Rack #248: Playing VIVA earns 10 points, the max possible.

Tile Rack #249: Playing MACKS earns 13 points, the max possible.

Tile Rack #250: Playing JOKY earns 18 points, the max possible.

Tile Rack #251: Playing KUDU earns 9 points, the max possible.

Tile Rack #252: Playing WAZOO earns 17 points, the max possible.

Tile Rack #253: Playing PESKY earns 14 points, the max possible.

Tile Rack #254: Playing BY earns 7 points, the max possible.

Tile Rack #255: Playing QOPHS earns 19 points, the max possible.

Tile Rack #256: Playing JEEZ earns 20 points, the max possible.

Tile Rack #257: Playing JEW earns 13 points, the max possible.

Tile Rack #258: Playing HUM earns 8 points, the max possible.

Tile Rack #259: Playing LEZ earns 12 points, the max possible.

Tile Rack #260: Playing PIQUED earns 18 points, the max possible.

Tile Rack #261: Playing DUNK earns 9 points, the max possible.

Tile Rack #262: Playing DORK earns 9 points, the max possible.

Tile Rack #263: Playing KEP earns 9 points, the max possible.

Tile Rack #264: Playing JUT earns 10 points, the max possible.

Tile Rack #265: Playing AJUGA earns 13 points, the max possible.

Tile Rack #266: Playing VIVE earns 10 points, the max possible.

Tile Rack #267: Playing MEW earns 8 points, the max possible.

Tile Rack #268: Playing GOITRES earns 8 points, the max possible.

Tile Rack #269: Playing JAB earns 12 points, the max possible.

Tile Rack #270: Playing KNEW earns 11 points, the max possible.

Tile Rack #271: Playing JOKED earns 17 points, the max possible.

Tile Rack #272: Playing MOZO earns 15 points, the max possible.

Tile Rack #273: Playing COZY earns 18 points, the max possible.

Tile Rack #274: Playing SH earns 5 points, the max possible.

Tile Rack #275: Playing POUFF earns 13 points, the max possible.

Tile Rack #276: Playing YAY earns 9 points, the max possible.

Tile Rack #277: Playing WHOMP earns 15 points, the max possible.

Tile Rack #278: Playing SUQ earns 12 points, the max possible.

Tile Rack #279: Playing BEVY earns 12 points, the max possible.

Tile Rack #280: Playing WAVED earns 12 points, the max possible.

Tile Rack #281: Playing BARK earns 10 points, the max possible.

Tile Rack #282: Playing CAMP earns 10 points, the max possible.

Tile Rack #283: Playing APEX earns 13 points, the max possible.

Tile Rack #284: Playing PHT earns 8 points, the max possible.

Tile Rack #285: Playing PHT earns 8 points, the max possible.

Tile Rack #286: Playing PINKIE earns 12 points, the max possible.

Tile Rack #287: Playing GROK earns 9 points, the max possible.

Tile Rack #288: Playing KOJI earns 15 points, the max possible.

Tile Rack #289: Playing FOPS earns 9 points, the max possible.

Tile Rack #290: Playing DHOWS earns 12 points, the max possible.

Tile Rack #291: Playing LAKH earns 11 points, the max possible.

Tile Rack #292: Playing BY earns 7 points, the max possible.

Tile Rack #293: Playing VAWS earns 10 points, the max possible.

Tile Rack #294: Playing JAW earns 13 points, the max possible.

Tile Rack #295: Playing BRIGS earns 8 points, the max possible.

Tile Rack #296: Playing COMBAT earns 12 points, the max possible.

Tile Rack #297: Playing COVEY earns 13 points, the max possible.

Tile Rack #298: Playing WYCH earns 15 points, the max possible.

Tile Rack #299: Playing ZIPS earns 15 points, the max possible.

Tile Rack #300: Playing WIZ earns 15 points, the max possible.

Tile Rack #301: Playing KALIPH earns 15 points, the max possible.

Tile Rack #302: Playing MM earns 6 points, the max possible.

Tile Rack #303: Playing MAX earns 12 points, the max possible.

Tile Rack #304: Playing SKY earns 10 points, the max possible.

Tile Rack #305: Playing HEHS earns 10 points, the max possible.

Tile Rack #306: Playing FUND earns 8 points, the max possible.

Tile Rack #307: Playing BOX earns 12 points, the max possible.

Tile Rack #308: Playing JAPE earns 13 points, the max possible.

Tile Rack #309: Playing FUBAR earns 10 points, the max possible.

Tile Rack #310: Playing BYS earns 8 points, the max possible.

Tile Rack #311: Playing PHT earns 8 points, the max possible.

Tile Rack #312: Playing JOEY earns 14 points, the max possible.

Tile Rack #313: Playing DUPS earns 7 points, the max possible.

Tile Rack #314: Playing JOY earns 13 points, the max possible.

Tile Rack #315: Playing HM earns 7 points, the max possible.

Tile Rack #316: Playing FRY earns 9 points, the max possible.

Tile Rack #317: Playing RUNTY earns 8 points, the max possible.

Tile Rack #318: Playing ZONK earns 17 points, the max possible.

Tile Rack #319: Playing QIS earns 12 points, the max possible.

Tile Rack #320: Playing JILT earns 11 points, the max possible.

Tile Rack #321: Playing HOWS earns 10 points, the max possible.

Tile Rack #322: Playing UNWET earns 8 points, the max possible.

Tile Rack #323: Playing KEX earns 14 points, the max possible.

Tile Rack #324: Playing FLY earns 9 points, the max possible.

Tile Rack #325: Playing CLIFTS earns 11 points, the max possible.

Tile Rack #326: Playing GOX earns 11 points, the max possible.

Tile Rack #327: Playing ACUMEN earns 10 points, the max possible.

Tile Rack #328: Playing JINX earns 18 points, the max possible.

Tile Rack #329: Playing CAVY earns 12 points, the max possible.

Tile Rack #330: Playing JIB earns 12 points, the max possible.

Tile Rack #331: Playing ZAX earns 19 points, the max possible.

Tile Rack #332: Playing TUX earns 10 points, the max possible.

Tile Rack #333: Playing HM earns 7 points, the max possible.

Tile Rack #334: Playing BYS earns 8 points, the max possible.

Tile Rack #335: Playing KEX earns 14 points, the max possible.

Tile Rack #336: Playing ZAP earns 14 points, the max possible.

Tile Rack #337: Playing MIZEN earns 16 points, the max possible.

Tile Rack #338: Playing FAX earns 13 points, the max possible.

Tile Rack #339: Playing CRUX earns 13 points, the max possible.

Tile Rack #340: Playing PIXY earns 16 points, the max possible.

Tile Rack #341: Playing DUKED earns 11 points, the max possible.

Tile Rack #342: Playing GLAZE earns 15 points, the max possible.

Tile Rack #343: Playing KNEW earns 11 points, the max possible.

Tile Rack #344: Playing LEZ earns 12 points, the max possible.

Tile Rack #345: Playing FRY earns 9 points, the max possible.

Tile Rack #346: Playing QI earns 11 points, the max possible.

Tile Rack #347: Playing QI earns 11 points, the max possible.

Tile Rack #348: Playing FRIZ earns 16 points, the max possible.

Tile Rack #349: Playing WIG earns 7 points, the max possible.

Tile Rack #350: Playing ZAS earns 12 points, the max possible.

Tile Rack #351: Playing CAHOWS earns 14 points, the max possible.

Tile Rack #352: Playing DRY earns 7 points, the max possible.

Tile Rack #353: Playing SUQ earns 12 points, the max possible.

Tile Rack #354: Playing SKY earns 10 points, the max possible.

Tile Rack #355: Playing CABOBS earns 12 points, the max possible.

Tile Rack #356: Playing EX earns 9 points, the max possible.

Tile Rack #357: Playing ZA earns 11 points, the max possible.

Tile Rack #358: Playing MAX earns 12 points, the max possible.

Tile Rack #359: Playing ZEK earns 16 points, the max possible.

Tile Rack #360: Playing JOKER earns 16 points, the max possible.

Tile Rack #361: Playing TURFY earns 11 points, the max possible.

Tile Rack #362: Playing RITZY earns 17 points, the max possible.

Tile Rack #363: Playing XU earns 9 points, the max possible.

Tile Rack #364: Playing FINCH earns 13 points, the max possible.

Tile Rack #365: Playing MY earns 7 points, the max possible.

Tile Rack #366: Playing FIBS earns 9 points, the max possible.

Tile Rack #367: Playing VEXT earns 14 points, the max possible.

Tile Rack #368: Playing BUNG earns 7 points, the max possible.

Tile Rack #369: Playing WHIG earns 11 points, the max possible.

Tile Rack #370: Playing QAT earns 12 points, the max possible.

Tile Rack #371: Playing WAXY earns 17 points, the max possible.

Tile Rack #372: Playing ZONK earns 17 points, the max possible.

Tile Rack #373: Playing SCUM earns 8 points, the max possible.

Tile Rack #374: Playing FAX earns 13 points, the max possible.

Tile Rack #375: Playing QAT earns 12 points, the max possible.

Tile Rack #376: Playing ICKY earns 13 points, the max possible.

Tile Rack #377: Playing BAFFY earns 16 points, the max possible.

Tile Rack #378: Playing DHOW earns 11 points, the max possible.

Tile Rack #379: Playing KATAS earns 9 points, the max possible.

Tile Rack #380: Playing QAT earns 12 points, the max possible.

Tile Rack #381: Playing JEW earns 13 points, the max possible.

Tile Rack #382: Playing YUPS earns 9 points, the max possible.

Tile Rack #383: Playing FRUMP earns 12 points, the max possible.

Tile Rack #384: Playing BRAXY earns 17 points, the max possible.

Tile Rack #385: Playing PEWS earns 9 points, the max possible.

Tile Rack #386: Playing WHOOF earns 14 points, the max possible.

Tile Rack #387: Playing KOPH earns 13 points, the max possible.

Tile Rack #388: Playing VOWS earns 10 points, the max possible.

Tile Rack #389: Playing BIKE earns 10 points, the max possible.

Tile Rack #390: Playing FLAB earns 9 points, the max possible.

Tile Rack #391: Playing DONZEL earns 16 points, the max possible.

Tile Rack #392: Playing VETTED earns 10 points, the max possible.

Tile Rack #393: Playing BREW earns 9 points, the max possible.

Tile Rack #394: Playing WAX earns 13 points, the max possible.

Tile Rack #395: Playing APLITE earns 8 points, the max possible.

Tile Rack #396: Playing FEZ earns 15 points, the max possible.

Tile Rack #397: Playing LAVA earns 7 points, the max possible.

Tile Rack #398: Playing SH earns 5 points, the max possible.

Tile Rack #399: Playing VEX earns 13 points, the max possible.

Tile Rack #400: Playing BIKE earns 10 points, the max possible.

Tile Rack #401: Playing SUQ earns 12 points, the max possible.

Tile Rack #402: Playing LUX earns 10 points, the max possible.

Tile Rack #403: Playing BOYLA earns 10 points, the max possible.

Tile Rack #404: Playing BAITH earns 10 points, the max possible.

Tile Rack #405: Playing JUBA earns 13 points, the max possible.

Tile Rack #406: Playing NIXY earns 14 points, the max possible.

Tile Rack #407: Playing COWY earns 12 points, the max possible.

Tile Rack #408: Playing HAWSER earns 12 points, the max possible.

Tile Rack #409: Playing WHIFF earns 17 points, the max possible.

Tile Rack #410: Playing JURY earns 14 points, the max possible.

Tile Rack #411: Playing VEX earns 13 points, the max possible.

Tile Rack #412: Playing KITHS earns 12 points, the max possible.

Tile Rack #413: Playing XU earns 9 points, the max possible.

Tile Rack #414: Playing WAX earns 13 points, the max possible.

Tile Rack #415: Playing MIXES earns 14 points, the max possible.

Tile Rack #416: Playing DEF earns 7 points, the max possible.

Tile Rack #417: Playing YUTZ earns 16 points, the max possible.

Tile Rack #418: Playing MIKED earns 12 points, the max possible.

Tile Rack #419: Playing LUX earns 10 points, the max possible.

Tile Rack #420: Playing WHORL earns 11 points, the max possible.

Tile Rack #421: Playing HADJ earns 15 points, the max possible.

Tile Rack #422: Playing CAVY earns 12 points, the max possible.

Tile Rack #423: Playing FOBS earns 9 points, the max possible.

Tile Rack #424: Playing HAJIS earns 15 points, the max possible.

Tile Rack #425: Playing FLIPS earns 10 points, the max possible.

Tile Rack #426: Playing UPBY earns 11 points, the max possible.

Tile Rack #427: Playing JACK earns 17 points, the max possible.

Tile Rack #428: Playing HM earns 7 points, the max possible.

Tile Rack #429: Playing JAY earns 13 points, the max possible.

Tile Rack #430: Playing KIP earns 9 points, the max possible.

Tile Rack #431: Playing AVOW earns 10 points, the max possible.

Tile Rack #432: Playing QI earns 11 points, the max possible.

Tile Rack #433: Playing SPIV earns 9 points, the max possible.

Tile Rack #434: Playing YUTZ earns 16 points, the max possible.

Tile Rack #435: Playing FLUX earns 14 points, the max possible.

Tile Rack #436: Playing KIVA earns 11 points, the max possible.

Tile Rack #437: Playing WAVY earns 13 points, the max possible.

Tile Rack #438: Playing PEDS earns 7 points, the max possible.

Tile Rack #439: Playing JEHU earns 14 points, the max possible.

Tile Rack #440: Playing CLOYED earns 12 points, the max possible.

Tile Rack #441: Playing SUQ earns 12 points, the max possible.

Tile Rack #442: Playing VAC earns 8 points, the max possible.

Tile Rack #443: Playing JINK earns 15 points, the max possible.

Tile Rack #444: Playing BOP earns 7 points, the max possible.

Tile Rack #445: Playing MIX earns 12 points, the max possible.

Tile Rack #446: Playing BEDIM earns 10 points, the max possible.

Tile Rack #447: Playing HOOF earns 10 points, the max possible.

Tile Rack #448: Playing ZIPPY earns 21 points, the max possible.

Tile Rack #449: Playing SCHMO earns 12 points, the max possible.

Tile Rack #450: Playing BURB earns 8 points, the max possible.

Tile Rack #451: Playing BUNG earns 7 points, the max possible.

Tile Rack #452: Playing MOJO earns 13 points, the max possible.

Tile Rack #453: Playing BIZ earns 14 points, the max possible.

Tile Rack #454: Playing SCOLDS earns 9 points, the max possible.

Tile Rack #455: Playing FROWSY earns 15 points, the max possible.

Tile Rack #456: Playing ZAS earns 12 points, the max possible.

Tile Rack #457: Playing QI earns 11 points, the max possible.

Tile Rack #458: Playing HYP earns 11 points, the max possible.

Tile Rack #459: Playing BIPED earns 10 points, the max possible.

Tile Rack #460: Playing CENTS earns 7 points, the max possible.

Tile Rack #461: Playing CYCLO earns 12 points, the max possible.

Tile Rack #462: Playing KEBAB earns 13 points, the max possible.

Tile Rack #463: Playing CRUDDY earns 13 points, the max possible.

Tile Rack #464: Playing FIZ earns 15 points, the max possible.

Tile Rack #465: Playing JOW earns 13 points, the max possible.

Tile Rack #466: Playing FLAWY earns 14 points, the max possible.

Tile Rack #467: Playing NTH earns 6 points, the max possible.

Tile Rack #468: Playing LANKY earns 12 points, the max possible.

